"Title","State/Territory","Representative","Street Address","City","StateCode-1","Zip Code","ID","Created Date","Updated Date","Owner"
,"California","Linda Sánchez (D-38)","2329 Rayburn House Office Building","Washington","DC",20515,"003ec21e-bbdb-4165-958a-1fe83c31ebed",2025-02-27T02:27:47Z,2025-02-27T02:27:47Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"Oklahoma","Frank Lucas (R-3)","2405 Rayburn House Office Building","Washington","DC",20515,"0049adce-6b9c-4db8-b8f7-d18e876f944a",2025-02-27T02:27:49Z,2025-02-27T02:27:49Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"Indiana","Jim Banks (R-3)","2418 Rayburn House Office Building","Washington","DC",20515,"00b4f21a-322f-444d-bbdc-c73054a368ad",2025-02-27T02:27:48Z,2025-02-27T02:27:48Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"Illinois","Darin LaHood (R-16)","1424 Longworth House Office Building","Washington","DC",20515,"00b4fb01-db52-44c1-8ff3-5404d3f1aeae",2025-02-27T02:27:48Z,2025-02-27T02:27:48Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"California","Josh Harder (D-9)","209 Cannon House Office Building","Washington","DC",20515,"0111a9fc-91c9-4d27-b43f-33d5a22c86c6",2025-02-27T02:27:47Z,2025-02-27T02:27:47Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"California","Doug LaMalfa (R-1)","408 Cannon House Office Building","Washington","DC",20515,"0224db6b-5b67-4e1f-be68-51c12681c0e5",2025-02-27T02:27:47Z,2025-02-27T02:27:47Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"Texas","Michael Burgess (R-26)","2161 Rayburn House Office Building","Washington","DC",20515,"02747245-e969-419b-9760-c0d8c16a693c",2025-02-27T02:27:49Z,2025-02-27T02:27:49Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"Virginia","Gerry Connolly (D-11)","2265 Rayburn House Office Building","Washington","DC",20515,"0362d960-6797-419b-963c-e4379d2847e2",2025-02-27T02:27:50Z,2025-02-27T02:27:50Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"California","Lou Correa (D-46)","2301 Rayburn House Office Building","Washington","DC",20515,"03a8b224-c47b-41b2-bcc1-e90a7379f6a5",2025-02-27T02:27:47Z,2025-02-27T02:27:47Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"Arkansas","French Hill (R-2)","1533 Longworth House Office Building","Washington","DC",20515,"03c19ad9-0110-47a7-af7f-0d78e51fa26a",2025-02-27T02:27:47Z,2025-02-27T02:27:47Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"California","Ro Khanna (D-17)","306 Cannon House Office Building","Washington","DC",20515,"03da567f-41a6-4882-8dbf-f0faa93e98d0",2025-02-27T02:27:47Z,2025-02-27T02:27:47Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"Oregon","Suzanne Bonamici (D-1)","2231 Rayburn House Office Building","Washington","DC",20515,"040f4ab3-3200-4430-a330-ace3c21f3488",2025-02-27T02:27:49Z,2025-02-27T02:27:49Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"Texas","John Carter (R-31)","2208 Rayburn House Office Building","Washington","DC",20515,"045d8f3e-621b-4682-ad31-3bc5067acfb6",2025-02-27T02:27:49Z,2025-02-27T02:27:49Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"Kentucky","James Comer (R-1)","2410 Rayburn House Office Building","Washington","DC",20515,"04740fae-e97a-4fb8-a9d0-fc738b319fb8",2025-02-27T02:27:48Z,2025-02-27T02:27:48Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"Georgia","Drew Ferguson (R-3)","2239 Rayburn House Office Building","Washington","DC",20515,"04aca4b3-ed0a-4d51-ae9a-cb204ff44643",2025-02-27T02:27:48Z,2025-02-27T02:27:48Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"Florida","María Elvira Salazar (R-27)","2259 Rayburn House Office Building","Washington","DC",20515,"05794dbd-10e5-4714-aba8-187e52a96569",2025-02-27T02:27:48Z,2025-02-27T02:27:48Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"South Carolina","Russell Fry (R-7)","1626 Longworth House Office Building","Washington","DC",20515,"058de962-87eb-4abf-a7c2-7ebe2a604469",2025-02-27T02:27:49Z,2025-02-27T02:27:49Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"New York","Paul Tonko (D-20)","2365 Rayburn House Office Building","Washington","DC",20515,"0672d9ea-4fe9-4a4d-b57b-bdde2f896819",2025-02-27T02:27:49Z,2025-02-27T02:27:49Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"Ohio","David Joyce (R-14)","2065 Rayburn House Office Building","Washington","DC",20515,"067ec8c3-324d-4f65-985f-f41ed532a47e",2025-02-27T02:27:49Z,2025-02-27T02:27:49Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"Texas","Marc Veasey (D-33)","2348 Rayburn House Office Building","Washington","DC",20515,"07264c17-373b-4015-b945-1f4e363043d2",2025-02-27T02:27:49Z,2025-02-27T02:27:49Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"Illinois","Nikki Budzinski (D-13)","1009 Longworth House Office Building","Washington","DC",20515,"0776a03c-abb7-4ed8-a50b-3603b4d6a933",2025-02-27T02:27:48Z,2025-02-27T02:27:48Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"New York","Hakeem Jeffries (D-8)","2433 Rayburn House Office Building","Washington","DC",20515,"0818e9e3-9a7a-4a4d-b5e5-6f8abf09f408",2025-02-27T02:27:49Z,2025-02-27T02:27:49Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"Virginia","Bob Good (R-5)","1213 Longworth House Office Building","Washington","DC",20515,"08954306-134e-4620-8a72-777f14f22999",2025-02-27T02:27:50Z,2025-02-27T02:27:50Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"California","Mike Levin (D-44)","2352 Rayburn House Office Building","Washington","DC",20515,"0896624b-8537-4759-8d55-cd0e6bb6f561",2025-02-27T02:27:47Z,2025-02-27T02:27:47Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"Iowa","Randy Feenstra (R-4)","1440 Longworth House Office Building","Washington","DC",20515,"08ff0c3e-22ea-456a-babd-899b2de9b488",2025-02-27T02:27:48Z,2025-02-27T02:27:48Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"Pennsylvania","Scott Perry (R-10)","2160 Rayburn House Office Building","Washington","DC",20515,"0910321f-6466-43a9-b03c-a6059884483a",2025-02-27T02:27:49Z,2025-02-27T02:27:49Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"Massachusetts","Ayanna Pressley (D-7)","402 Cannon House Office Building","Washington","DC",20515,"09ddf3ad-005f-41f2-a3ca-c9ed0559c963",2025-02-27T02:27:48Z,2025-02-27T02:27:48Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"Texas","Monica De La Cruz (R-15)","1411 Longworth House Office Building","Washington","DC",20515,"0ad1a32e-20e2-4624-8099-071244df7dfc",2025-02-27T02:27:49Z,2025-02-27T02:27:49Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"Florida","Greg Steube (R-17)","2457 Rayburn House Office Building","Washington","DC",20515,"0b395dc0-767a-41b3-ae4b-c2111c1d0296",2025-02-27T02:27:48Z,2025-02-27T02:27:48Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"Massachusetts","Katherine Clark (D-5)","2361 Rayburn House Office Building","Washington","DC",20515,"0cfe9935-6dd6-4aa5-a576-46c5fbb908f3",2025-02-27T02:27:48Z,2025-02-27T02:27:48Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"New York","Anthony D'Esposito (R-4)","1508 Longworth House Office Building","Washington","DC",20515,"0d74ed32-6a04-4c38-adab-5e7809c344cf",2025-02-27T02:27:49Z,2025-02-27T02:27:49Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"Montana","Ryan Zinke (R-1)","512 Cannon House Office Building","Washington","DC",20515,"0f851118-cb01-404c-a5be-a2a25d47791d",2025-02-27T02:27:48Z,2025-02-27T02:27:48Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"New Jersey","Frank Pallone (D-6)","2107 Rayburn House Office Building","Washington","DC",20515,"0f8a803e-a24b-44cb-a3bc-6af9d69157ca",2025-02-27T02:27:49Z,2025-02-27T02:27:49Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"Florida","Darren Soto (D-9)","2353 Rayburn House Office Building","Washington","DC",20515,"1015a2c9-e6bb-44f3-b66d-948fd91aa386",2025-02-27T02:27:47Z,2025-02-27T02:27:47Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"Massachusetts","Jim McGovern (D-2)","370 Cannon House Office Building","Washington","DC",20515,"10b87271-798a-4b12-aea7-2ddc0b4a968e",2025-02-27T02:27:48Z,2025-02-27T02:27:48Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"Illinois","Bill Foster (D-11)","2366 Rayburn House Office Building","Washington","DC",20515,"111a928c-bd4e-4d58-87c8-bf140ed82940",2025-02-27T02:27:48Z,2025-02-27T02:27:48Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"Indiana","Rudy Yakym (R-2)","1641 Longworth House Office Building","Washington","DC",20515,"115903f9-18aa-40bc-b770-557f6ac784b9",2025-02-27T02:27:48Z,2025-02-27T02:27:48Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"New York","Andrew Garbarino (R-2)","2344 Rayburn House Office Building","Washington","DC",20515,"115fb107-ed6d-4842-8e10-16eeb0564c06",2025-02-27T02:27:49Z,2025-02-27T02:27:49Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"Virgin Islands","Stacey Plaskett (D-AL)","2404 Rayburn House Office Building","Washington","DC",20515,"11884032-c0c0-473c-9911-a850634bdf72",2025-02-27T02:27:50Z,2025-02-27T02:27:50Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"Washington","Marilyn Strickland (D-10)","1708 Longworth House Office Building","Washington","DC",20515,"127be826-306b-41f9-9436-5f97732d4588",2025-02-27T02:27:50Z,2025-02-27T02:27:50Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"Washington","Marie Gluesenkamp Perez (D-3)","1431 Longworth House Office Building","Washington","DC",20515,"12b8adc8-bd00-48ea-b7ee-0479299a6ca9",2025-02-27T02:27:50Z,2025-02-27T02:27:50Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"Texas","Jasmine Crockett (D-30)","1616 Longworth House Office Building","Washington","DC",20515,"157837ae-e04d-4d38-affe-68fc23f55a0e",2025-02-27T02:27:49Z,2025-02-27T02:27:49Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"Arkansas","Steve Womack (R-3)","2412 Rayburn House Office Building","Washington","DC",20515,"157ccbca-518d-4904-948e-a38a00e53411",2025-02-27T02:27:47Z,2025-02-27T02:27:47Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"Massachusetts","Richard Neal (D-1)","372 Cannon House Office Building","Washington","DC",20515,"157ebd8b-9052-46c0-a233-4a7c80d926b5",2025-02-27T02:27:48Z,2025-02-27T02:27:48Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"Rhode Island","Seth Magaziner (D-2)","1218 Longworth House Office Building","Washington","DC",20515,"15b26c5d-02fa-4c9f-868a-d12dcad7ec37",2025-02-27T02:27:49Z,2025-02-27T02:27:49Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"California","Jay Obernolte (R-23)","1029 Longworth House Office Building","Washington","DC",20515,"15e44904-33b2-4168-a3a5-c95a4b5bd649",2025-02-27T02:27:47Z,2025-02-27T02:27:47Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"Virginia","Jennifer McClellan (D-4)","2417 Rayburn House Office Building","Washington","DC",20515,"1615bad7-ff25-485d-a5aa-8673bc8241b8",2025-02-27T02:27:50Z,2025-02-27T02:27:50Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"California","Nanette Barragán (D-43)","2312 Rayburn House Office Building","Washington","DC",20515,"16f6ecdc-5f2c-487d-bbea-66c6800093d2",2025-02-27T02:27:47Z,2025-02-27T02:27:47Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"Texas","Sylvia Garcia (D-29)","2419 Rayburn House Office Building","Washington","DC",20515,"17b0f913-ba92-4e96-85b8-2de8a832cbda",2025-02-27T02:27:49Z,2025-02-27T02:27:49Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"California","John Duarte (R-13)","1535 Longworth House Office Building","Washington","DC",20515,"17f88a61-a5ce-4264-bd06-1addcb146bd0",2025-02-27T02:27:47Z,2025-02-27T02:27:47Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"Oklahoma","Josh Brecheen (R-2)","1413 Longworth House Office Building","Washington","DC",20515,"1804a0cd-b9c9-43c5-9ce8-b1be6fd79d10",2025-02-27T02:27:49Z,2025-02-27T02:27:49Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"American Samoa","Aumua Amata Coleman Radewagen (R-AL)","1339 Longworth House Office Building","Washington","DC",20515,"1a446f20-423f-4ce5-84c6-3cb92776c72a",2025-02-27T02:27:47Z,2025-02-27T02:27:47Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"Arkansas","Bruce Westerman (R-4)","202 Cannon House Office Building","Washington","DC",20515,"1d2eb805-4401-4f0c-a184-f33e631ce5a2",2025-02-27T02:27:47Z,2025-02-27T02:27:47Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
,"Georgia","Lucy McBath (D-6)","2246 Rayburn House Office Building","Washington","DC",20515,"1deae8be-6bcf-403c-9d6c-ab3cacfc8cac",2025-02-27T02:27:48Z,2025-02-27T02:27:48Z,"d50ecbb2-6384-4cad-a7f8-ae0d593a971e"
